name,rating,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Save percentage_percentile,Goals conceded_percentile,Clean sheets_percentile,Penalty goals faced_percentile,Penalty goals conceded_percentile,Penalty goals saves_percentile,Error led to goal_percentile,Acted as sweeper_percentile,High claims_percentile
Danny Vitiello,7.12,17.94871794871795,79.48717948717949,61.53846153846154,84.61538461538461,87.17948717948718,71.7948717948718,48.717948717948715,38.46153846153847,0,100,87.17948717948718,82.05128205128204
Damian Las,7.1,2.564102564102564,74.35897435897436,41.02564102564102,94.87179487179486,94.87179487179486,82.05128205128204,35.8974358974359,56.41025641025641,0,20.51282051282051,66.66666666666666,41.02564102564102
Luis Zamudio,7.08,71.7948717948718,33.33333333333333,58.97435897435898,92.3076923076923,84.61538461538461,56.41025641025641,NA,NA,NA,17.94871794871795,74.35897435897436,74.35897435897436
Hugo Fauroux,7.04,66.66666666666666,66.66666666666666,74.35897435897436,58.97435897435898,53.84615384615385,41.02564102564102,66.66666666666666,51.28205128205128,100,100,74.35897435897436,56.41025641025641
Johan Penaranda,6.93,5.128205128205128,51.28205128205128,15.384615384615383,76.92307692307693,92.3076923076923,74.35897435897436,76.92307692307693,15.384615384615383,0,100,51.28205128205128,69.23076923076923
Nico Campuzano,6.92,56.41025641025641,53.84615384615385,33.33333333333333,89.74358974358975,66.66666666666666,38.46153846153847,38.46153846153847,53.84615384615385,0,100,48.717948717948715,53.84615384615385
Alexandros Tambakis,6.89,94.87179487179486,5.128205128205128,12.82051282051282,74.35897435897436,69.23076923076923,84.61538461538461,61.53846153846154,33.33333333333333,0,100,79.48717948717949,17.94871794871795
Bill Hamid,6.89,12.82051282051282,61.53846153846154,35.8974358974359,66.66666666666666,41.02564102564102,33.33333333333333,87.17948717948718,20.51282051282051,92.3076923076923,12.82051282051282,46.15384615384615,89.74358974358975
Raiko Arozarena,6.87,28.205128205128204,84.61538461538461,71.7948717948718,69.23076923076923,71.7948717948718,94.87179487179486,64.1025641025641,30.76923076923077,0,100,28.205128205128204,28.205128205128204
Eric Dick,6.85,0,28.205128205128204,10.256410256410255,79.48717948717949,87.17948717948718,89.74358974358975,41.02564102564102,100,0,100,69.23076923076923,76.92307692307693
Kendall McIntosh,6.79,20.51282051282051,61.53846153846154,46.15384615384615,64.1025641025641,53.84615384615385,79.48717948717949,56.41025641025641,35.8974358974359,0,100,20.51282051282051,12.82051282051282
Koke Vegas,6.77,64.1025641025641,100,89.74358974358975,58.97435897435898,76.92307692307693,87.17948717948718,NA,NA,NA,100,56.41025641025641,35.8974358974359
Richard Sanchez,6.74,74.35897435897436,30.76923076923077,23.076923076923077,48.717948717948715,51.28205128205128,69.23076923076923,82.05128205128204,12.82051282051282,0,7.6923076923076925,92.3076923076923,48.717948717948715
Matt Van Oekel,6.7,35.8974358974359,10.256410256410255,2.564102564102564,71.7948717948718,61.53846153846154,28.205128205128204,48.717948717948715,38.46153846153847,0,100,30.76923076923077,33.33333333333333
Jake McGuire,6.67,10.256410256410255,94.87179487179486,64.1025641025641,82.05128205128204,74.35897435897436,61.53846153846154,48.717948717948715,38.46153846153847,0,0,35.8974358974359,46.15384615384615
Patrick Rakovsky,6.67,100,48.717948717948715,92.3076923076923,53.84615384615385,33.33333333333333,33.33333333333333,43.58974358974359,100,92.3076923076923,100,23.076923076923077,20.51282051282051
Christian Herrera,6.62,53.84615384615385,35.8974358974359,30.76923076923077,12.82051282051282,43.58974358974359,66.66666666666666,NA,NA,NA,100,64.1025641025641,84.61538461538461
Colin Shutler,6.55,58.97435897435898,82.05128205128204,66.66666666666666,28.205128205128204,28.205128205128204,30.76923076923077,71.7948717948718,25.64102564102564,0,100,53.84615384615385,30.76923076923077
Carlos Herrera,6.54,46.15384615384615,20.51282051282051,20.51282051282051,28.205128205128204,58.97435897435898,74.35897435897436,NA,NA,NA,10.256410256410255,38.46153846153847,92.3076923076923
Logan Ketterer,6.54,79.48717948717949,43.58974358974359,84.61538461538461,17.94871794871795,20.51282051282051,58.97435897435898,76.92307692307693,15.384615384615383,0,100,61.53846153846154,43.58974358974359
Jahmali Waite,6.51,38.46153846153847,23.076923076923077,25.64102564102564,28.205128205128204,23.076923076923077,25.64102564102564,66.66666666666666,28.205128205128204,0,100,12.82051282051282,71.7948717948718
Hunter Sulte,6.48,7.6923076923076925,41.02564102564102,17.94871794871795,41.02564102564102,28.205128205128204,46.15384615384615,58.97435897435898,48.717948717948715,0,100,15.384615384615383,79.48717948717949
Antony Siaha,6.32,43.58974358974359,46.15384615384615,43.58974358974359,38.46153846153847,25.64102564102564,48.717948717948715,43.58974358974359,46.15384615384615,0,12.82051282051282,NA,87.17948717948718
Dante Campisi,6.03,82.05128205128204,25.64102564102564,76.92307692307693,20.51282051282051,15.384615384615383,0,92.3076923076923,5.128205128205128,0,2.564102564102564,71.7948717948718,15.384615384615383
