Club,Full_Address
AV Alta FC,"45116 Vly Central Wy, Lancaster, CA 93536, United States"
Atlanta United FC,"861 Franklin Gateway SE, 30067 Marietta, GA, United States"
Austin FC,"1835-A Kramer Ln #600, 78758 Austin, United States"
Birmingham Legion FC,"2226 1st Ave. S Suite 101, 35233 Birmingham, Alabama, United States"
CF Montreal,"4750 rue Sherbrooke Est, H1V 3S8 Montreal, Quebec, Canada"
Charleston Battery,"85 Patriots Point Rd, 29464 Mount Pleasant, South Carolina, United States"
Charlotte FC,"8600 McAlpine Park Drive, Charlotte, NC 28211, United States"
Charlotte Independence,"1218-1238 Armory Dr, Charlotte, NC 28204, United States"
Chattanooga Red Wolves SC,"411 Broad St., Ste. 101, 37402 Chattanooga, Tennessee, United States"
Chicago Fire FC,"7000 S. Harlem Avenue, 60455 Bridgeview, United States"
Colorado Rapids,"6000 Victory Way, 80022 Commerce City, Colorado, United States"
Colorado Springs Switchbacks FC,"6303 Barnes Road, Colorado Springs, Colorado, United States"
Columbus Crew,"1 Black & Gold Blvd, 43211 Columbus, United States"
D.C. United,"2400 East Capitol Street, 20003 Washington, D.C., United States"
Detroit City FC,"3401 E. Lafayette Street, 48207 Detroit, Michigan, United States"
El Paso Locomotive FC,"1 Ballpark Plaza, 79901 El Paso, Texas, United States"
FC Cincinnati,"707 US-50, 45150 Milford, Ohio, United States"
FC Dallas,"9200 World Cup Way, 75034 Frisco, Texas, United States"
FC Naples,"3940 City Gate Blvd N., Naples, FL, United States"
FC Tulsa,"101 E 81st St S, Tulsa, OK 74132, United States"
Forward Madison FC,"834 E. Washington Avenue, Suite 229, 53703 Madison, Wisconsin, United States"
Greenville Triumph SC,"One North Main Street, 4th Floor, 29601 Greenville, South Carolina, United States"
Hartford Athletic,"250 Huyshope Ave, 06106 Hartford, Connecticut, United States"
Houston Dynamo FC,"1001 Avenida de las Americas, Suite 200, 77010 Houston, Texas, United States"
Indy Eleven,"47 South Pennsylvania Street, Suite 611, 46204 Indianapolis, Indiana, United States"
Inter Miami CF,"1350 NW 55th St, 33309 Fort Lauderdale, Florida, United States"
Las Vegas Lights FC,"850 N. Las Vegas Blvd., 89101 Las Vegas, Nevada, United States"
Lexington SC,"250 Doe Run Trail, Lexington, KY 40509, United States"
Los Angeles FC,"4751 Wilshire Blvd Suite 333, 90010 Los Angeles, California, United States"
Los Angeles Galaxy,"18400 Avalon Blvd, 90746 Carson, United States"
Loudoun United FC,"42095 Loudoun United Drive, 20175 Leesburg, Virginia, United States"
Louisville City FC,"2398 River Rd, Louisville, KY 40206, United States"
Miami FC,"1001 Brickell Bay Dr Suite 2310, 33131 Miami, Florida, United States"
Minnesota United FC,"4150 Olson Memorial Highway, Suite 300, 55422 Golden Valley, United States"
Monterey Bay FC,"4111 2nd Ave, Seaside, CA 93955, United States"
Nashville SC,"4251 Century Farms Ter, Antioch, TN 37013, United States"
New England Revolution,"1 Patriot Place, 02035 Foxborough, Massachusetts, United States"
New Mexico United,"3500 Central Ave. SE, Suite 2, 87106 Albuquerque, New Mexico, United States"
New York City FC,"600 Third Avenue, 10016 New York City, United States"
New York Red Bulls,"1 Harmon Plaza, NJ, 07094 Secaucus, United States"
North Carolina FC,"201 Soccer Park Drive, 27511 Cary, North Carolina, United States"
Oakland Roots SC,"1150 Harbor Bay Parkway, Alameda, CA 94502, United States"
One Knoxville SC,"500 East Jackson Avenue, Knoxville, Tennessee, 37915, United States"
Orange County SC,"801 E. Chapman Ave, 92831 Irvine, California, United States"
Orlando City FC,"1540 International Parkway, 32746 Lake Mary, Florida, United States"
Philadelphia Union,"2501 Seaport Drive, 19013 Chester, United States"
Phoenix Rising FC,"314 East Roosevelt Street, 85004 Phoenix, Arizona, United States"
Pittsburgh Riverhounds FC,"600 Iron City Drive, 15205 Pittsburgh, Pennsylvania, United States"
Portland Hearts of Pine,"65 Hanover Street, Portland, ME 04101, United States"
Portland Timbers,"1844 SW Morrison, 97205 Portland, Oregon, United States"
Real Salt Lake City,"9526 South State Street, 84070 Sandy, Utah, United States"
Rhode Island FC,"11 Tidewater Street, Pawtucket, RI 02860, United States"
Richmond Kickers,"2001 Maywill Street, 23230 Richmond Virginia, United States"
Sacramento Republic FC,"2421 17th St., 95818 Sacramento, California, United States"
San Antonio FC,"5106 David Edwards Dr., 78233 San Antonio, Texas, United States"
San Diego FC,"1640 Camino Del Rio N Suite #337, 92108 San Diego, California, United States"
San Jose Earthquakes,"451 El Camino Real, 95050 Santa Clara, United States"
Seattle Sounders FC,"800 Occidental Ave S, 98134 Seattle, United States"
South Georgia Tormenta FC,"2704 Old Register Road, GA 30458 Statesboro, United States"
Spokane Velocity FC,"501 W Gardner Ave, Spokane, WA 99201, United States"
Sporting Kansas City,"8900 State Line Road, 66206 Leawood, Kansas, United States"
St. Louis CITY SC,"2100 Market St, Saint Louis, MO 63103, United States"
Tampa Bay Rowdies,"5201 N. Kennedy Blvd, 33609 Tampa, Florida, United States"
Texoma FC,"200 N Travis St. Suite 106, Sherman TX 75090, United States"
Toronto FC,"170 Princes Blvd, M6K 3C3 Toronto, Canada"
Union Omaha,"12356 Ballpark Way, 68046 Papillion, Nebraska, United States"
Vancouver Whitecaps FC,"Suite 550, The Landing, 375 Water Street, V6B 5C6 Vancouver, British Columbia, Canada"
Westchester SC,"One Pace Plaza, Frankfort St, New York, NY 10038, United States"
