Team,proj_talent,mean_talent
Atlanta United Fc,6.403171247357294,0.5821064770324813
Austin Fc,7.071353065539112,0.6428502786853738
Av Alta Fc,2.9832225990756633,0.29832225990756633
Birmingham Legion Fc,3.5120390770891317,0.3192762797353756
Charleston Battery,5.700571507558052,0.5182337734143684
Charlotte Fc,7.292706131078225,0.6629732846434749
Charlotte Independence,4.746032505386652,0.43145750048969567
Chattanooga Red Wolves Sc,2.396757034100122,0.29959462926251523
Chicago Fire Fc,6.982346723044397,0.6347587930040361
Club De Foot Montreal,6.404756871035941,0.582250624639631
Colorado Rapids,7.244397463002114,0.6585815875456468
Colorado Springs Switchbacks Fc,4.17000898742813,0.37909172612982994
Columbus Crew Sc,8.16321353065539,0.7421103209686719
D C United,6.419873150105708,0.5836248318277917
Detroit City Fc,4.996770708273591,0.4542518825703264
El Paso Locomotive Fc,4.782233995480098,0.4347485450436453
Fc Cincinnati,7.451479915433404,0.6774072650394003
Fc Dallas,7.191226215644821,0.6537478377858927
Fc Naples,3.1235435115439447,0.31235435115439447
Fc Tulsa,4.989375855648244,0.4535796232407494
Forward Madison Fc,2.561122124542698,0.2845691249491887
Greenville Triumph Sc,3.328260345463886,0.33282603454638865
Hartford Athletic,3.03120168312472,0.27556378937497455
Houston Dynamo Fc,4.963636363636364,0.45123966942148763
Indy Eleven,4.377838740863749,0.3979853400785226
Inter Miami Cf,7.593974630021141,0.6903613300019219
Las Vegas Lights Fc,3.4338772045723847,0.3121706549611259
Lexington Sc,3.792269596926402,0.34475178153876385
Los Angeles Fc,8.17580286836374,0.7432548062148855
Los Angeles Galaxy,5.323361522198732,0.483941956563521
Loudoun United Fc,5.096257272082035,0.4632961156438214
Louisville City Fc,5.310278064924922,0.48275255135681105
Miami Fc,4.181015279707715,0.38009229815524687
Minnesota United Fc,8.48615221987315,0.7714683836248318
Monterey Bay Fc,4.620063157673074,0.4200057416066431
Nashville Sc,7.569238900634249,0.6881126273303864
New England Revolution,6.668287526427061,0.6062079569479146
New Mexico United,3.7780817982847483,0.34346198166224984
New York City Fc,7.415961945031713,0.6741783586392466
New York Red Bulls,7.828646934460888,0.7116951758600807
North Carolina Fc,4.390048846361414,0.39909534966921945
Oakland Roots Sc,3.2446205693585664,0.2949655063053242
One Knoxville Sc,4.06789190680612,0.36980835516419275
Orange County Sc,5.098750885176629,0.46352280774332993
Orlando City Sc,8.727167019027485,0.7933788199115894
Philadelphia Union,8.259866179381937,0.7508969253983581
Phoenix Rising Fc,4.743625985843114,0.4312387259857376
Pittsburgh Riverhounds Sc,2.9892401938087985,0.2717491085280726
Portland Hearts Of Pine,1.821137896412669,0.2601625566303813
Portland Timbers,7.102854122621565,0.645714011147415
Real Salt Lake City,6.647040169133192,0.6042763790121084
Rhode Island Fc,4.559356576818483,0.414486961528953
Richmond Kickers,3.225864003932978,0.2932603639939071
Sacramento Republic Fc,5.14251809431967,0.46750164493815183
San Antonio Fc,4.484892130614409,0.40771746641949175
San Diego Fc,8.120718816067653,0.7382471650970595
San Jose Earthquakes,8.477167019027483,0.7706515471843167
Seattle Sounders Fc,7.56723044397463,0.68793004036133
South Georgia Tormenta Fc,2.8621673686435676,0.2601970335130516
Spokane Velocity Fc,4.986019190278351,0.45327447184348646
Sporting Kansas City,6.02093023255814,0.5473572938689218
St Louis City Sc,6.50877378435518,0.5917067076686527
Tampa Bay Rowdies,4.450153520606966,0.4045594109642696
Texoma Fc,2.4935532144026706,0.22668665585478823
Toronto Fc,6.508668076109937,0.591697097828176
Union Omaha,1.8649787004162723,0.31082978340271206
Vancouver Whitecaps Fc,9.25200845665962,0.8410916778781472
Westchester Sc,2.130450696977886,0.236716744108654
